date,ACC_value
5841,0.54026776
5842,0.584659448
5843,0.625402362
5844,0.626028833
5845,0.616319405
5846,0.614207862
5847,0.624725454
5848,0.632459752
5849,0.619968751
5850,0.610460504
5851,0.602710157
5852,0.59171913
5853,0.589073397
5854,0.590550445
5855,0.597680054
5856,0.587906432
5857,0.594823969
5858,0.602123235
5859,0.612679802
5860,0.598295061
5861,0.5930099
5862,0.563745776
5863,0.579911916
5864,0.594100061
5865,0.58689938
5866,0.592167346
5867,0.594974139
5868,0.580596276
5869,0.587537886
5870,0.554706379
5871,0.519977119
5872,0.514979114
5873,0.535542582
5874,0.514544654
5875,0.509038251
5876,0.521280498
5877,0.519696841
5878,0.525160257
5879,0.542589655
5880,0.546833947
5881,0.535214158
5882,0.527469542
5883,0.543958948
5884,0.560592218
5885,0.552451545
5886,0.524264972
5887,0.502953523
5888,0.497463742
5889,0.486480166
5890,0.470163283
5891,0.478220274
5892,0.482636517
5893,0.525649741
5894,0.516447565
5895,0.528955188
5896,0.520492395
5897,0.52167369
5898,0.540820865
5899,0.525345963
5900,0.500799566
5901,0.497953798
5902,0.518678899
5903,0.529278453
5904,0.528089707
5905,0.526711244
5906,0.534567627
5907,0.547775085
5908,0.569994429
5909,0.580133731
5910,0.59357848
5911,0.608552435
5912,0.619136514
5913,0.609341112
5914,0.616685658
5915,0.583836955
5916,0.551947159
5917,0.537495931
5918,0.551633637
5919,0.563798507
5920,0.550734913
5921,0.570894872
5922,0.544811245
5923,0.538635384
5924,0.535854957
5925,0.519744414
5926,0.537524016
5927,0.528065061
5928,0.513068179
5929,0.525477218
5930,0.549778873
5931,0.56566932
5932,0.564130943
5933,0.5861898
5934,0.585334064
5935,0.603977426
5936,0.623275344
5937,0.631528931
5938,0.631573638
5939,0.624434859
5940,0.630912205
5941,0.641253834
5942,0.616475879
5943,0.588984557
5944,0.572938208
5945,0.581356294
5946,0.588052016
5947,0.588870497
5948,0.56962531
5949,0.551450797
5950,0.550104431
5951,0.535559777
5952,0.530952097
5953,0.541858868
5954,0.556945737
5955,0.541004851
5956,0.529149491
5957,0.526765121
5958,0.530647173
5959,0.53024825
5960,0.500943431
